Station_Name,Open_Date,Open_Year,BOROUGH,Latitude,Longitude,EV Level2 EVSE Num,EV DC Fast Count,Groups With Access Code
Propark 401 W 110th Street - Tesla Destination,2017-08-23,2017,MANHATTAN,40.802151,-73.961705,3,NA,Public
The State-Whitehall Co - Tesla Destination,2024-07-01,2024,MANHATTAN,40.706103,-74.007398,2,NA,Public
Park Kwik - 211 Atlantic - Tesla Destination,2019-10-11,2019,BROOKLYN,40.691073,-73.990197,6,NA,Public
Resorts World Parking Garage - 3rd Floor,2024-04-08,2024,QUEENS,40.67374,-73.832676,49,NA,Public
20RTAC GARAGE BOTTOM,2023-02-21,2023,MANHATTAN,40.716131,-74.015548,2,NA,Public
Parkit 27 N Moore Street - Tesla Destination,2015-11-13,2015,MANHATTAN,40.719869,-74.007447,3,NA,Public
Icon Parking 12 East 9th Street - Tesla Destination,2016-01-21,2016,MANHATTAN,40.732519,-73.995135,3,NA,Public
ImPark Underhill Garage - Tesla Destination,2018-12-19,2018,BROOKLYN,40.677526,-73.965785,4,NA,Public
Icon Parking Wall Park - Tesla Destination,2016-12-29,2016,MANHATTAN,40.705922,-74.010175,3,NA,Public
MPG 500 West 30th - Tesla Destination,2018-05-24,2018,MANHATTAN,40.752205,-74.001493,3,NA,Public
Mall at Bay Plaza - Tesla Supercharger,2019-09-30,2019,BRONX,40.863231,-73.828839,NA,12,Public
CITYLIGHTS 5TH FLOOR 1,2023-09-14,2023,QUEENS,40.744127,-73.95684,2,NA,Public
Icon Parking 35-39 East 61st Street - Tesla Destination,2016-10-13,2016,MANHATTAN,40.764617,-73.969764,3,NA,Public
Angelina's Ristorante - Tesla Destination,2016-01-11,2016,STATEN ISLAND,40.513465,-74.251418,3,NA,Public
Icon Parking 16 W 16th Street - Tesla Destination,2016-01-21,2016,MANHATTAN,40.737891,-73.994058,3,NA,Public
StuyTown 251 Ave C - Garage 5,2022-12-12,2022,MANHATTAN,40.7294,-73.9755,39,NA,Public
GMC 388 Bridge Street - Tesla Destination,2018-04-30,2018,BROOKLYN,40.691469,-73.985446,3,NA,Public
Rapidpark 906 Union Street - Tesla Destination,2017-06-13,2017,BROOKLYN,40.672884,-73.971541,3,NA,Public
GGMC Parking E 74th Street - Tesla Destination,2016-12-28,2016,MANHATTAN,40.769947,-73.956989,3,NA,Public
